CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp
1,2,0,6,7,7,7,5,6,5,7,7,7,5,4,7,6,7,4,7,7,7,7,5,7,7,7,7,5,7,4,1,7,5,7,4,4,7,7,7,7,6,4,5,5.75,6.5,6.25,3.75,5.75,6,4.75,5.75,5,4.75,5,5.25,4.25,4.75,3.75,5.5,4.75,3.75,5,5.25,5.75,6.25,6,6,4,5.5,5.75,3.75,2.75,3.5,5,4,4.5,4.75,5.25,5,5.25,3.75,4.75
2,4,0,7,7,7,7,6,6,6,7,6,7,2,6,6,7,7,6,5,6,7,6,2,7,7,2,7,7,7,4,2,2,2,6,1,5,6,6,4,6,6,2,4,5,5,3.5,4.5,3.5,4,5.5,3.5,5,4.25,5,5.25,4.5,5,4.5,1.5,4.25,5,5.5,6.25,4.5,5.75,3.75,4.5,5.25,4.75,3.5,3.5,4.25,4.25,4.25,2.5,4.75,5,4.5,4.75,5.25,3.25,4
3,6,0,6,6,5,7,6,6,6,6,7,6,5,4,4,7,6,5,7,5,6,6,7,6,6,7,7,6,6,2,3,6,6,4,2,7,6,7,5,6,6,4,6,5.25,5.5,6,5.75,5.75,5.75,5.5,5.75,6,5.25,4.25,4.5,5.75,6.5,5.25,4,4.25,5.5,5,6.25,5.25,5,5.25,5.75,4.5,5.25,2.75,4.25,4.5,4.25,3.5,2.25,6.5,6.25,5,4.75,5.75,3.5,6.25
4,8,0,7,7,7,7,7,4,4,7,7,7,7,4,7,7,7,7,7,7,5,7,7,7,6,7,4,7,7,7,4,6,7,4,4,7,7,7,5,7,5,5,6,5.5,5.5,6,5,6.25,5.25,5.75,5.75,5.75,5.25,4.25,5.75,4.25,5.75,5.25,5,5.25,3.75,5.5,3.75,4,6,4.5,4.75,6,5.75,5.5,3.75,3.25,5,4.75,5.5,5,4.75,6.25,5,5.75,4.25,5.25
5,10,0,7,7,7,7,6,7,4,7,7,6,5,4,7,7,7,5,3,6,6,7,7,7,7,6,6,6,7,6,3,6,6,4,5,4,6,7,4,5,5,6,4,5,5,6,4.25,4.5,5.5,5,5,5,3.5,3.75,4.75,5,5,4.5,3.5,4.5,5,4.75,4.5,5,4.75,3.5,4.25,4,4.5,4.75,3.75,3.5,4.25,4,3.5,4.5,4.25,5.25,4.25,4.75,4,4
6,12,0,7,7,7,2,5,7,7,7,7,7,4,4,7,6,7,4,6,6,6,6,6,7,7,7,4,6,7,4,2,4,5,6,4,5,5,6,5,6,4,4,5.75,6.25,6.25,5.75,5.5,6.25,6.25,6,5,6,5,3.5,5.5,4.5,5.75,4.75,4,6.25,4.5,5.75,5,4.5,5.5,4.75,5,5,5.5,6,4,4.5,5.5,4.5,6,3.75,5.75,5.75,4.25,5,4.25,4.75
7,14,0,5,6,6,6,6,6,6,6,6,7,4,4,7,7,7,4,6,7,4,7,4,6,6,7,7,4,6,2,4,4,4,4,3,6,7,6,6,5,4,4,5.25,4.25,5.5,4.75,6,4.5,5.25,5.75,5.25,6,4.25,3.5,5.25,5,6.75,4.75,4.25,5,4.25,6,4.75,5,6,5.25,6.25,5.75,5.5,3.5,3,5.75,4,3.75,2.5,5,6.25,4.25,3.75,6.25,5.25,6
8,16,0,7,7,7,7,6,7,7,6,6,6,6,5,6,7,7,7,6,7,6,7,7,6,7,7,6,7,7,2,1,6,7,4,2,7,7,7,7,7,2,1,6.25,6.25,4.5,5.75,5,6.25,6.25,4.75,5.5,5.25,5.5,4.5,4,6.25,5.5,6,4.5,3.25,5.5,5.5,5.25,3.5,5.25,5,5.5,5.25,5.25,2.75,2.75,3.5,6.25,4.5,2.75,4.75,6,6.25,4.75,4,3.75,3.75
9,18,0,6,7,7,7,6,7,6,6,7,7,6,5,7,6,6,6,6,6,4,6,6,7,6,7,6,7,7,4,2,4,6,6,4,3,6,6,7,7,4,4,5.5,5.75,5.5,5,4.5,5.5,5.5,4.75,5,5,5.25,4.75,4.5,4.75,5,5.75,5,3.75,5,4.75,5.25,5.5,5.5,4.5,6.25,5.25,5.5,4,3,3.5,5.25,4.5,4,5.333333333,4.5,6.25,5,5.5,4.75,4
10,20,0,6,7,7,7,4,6,NA,6,7,6,5,4,6,7,7,5,7,6,7,6,6,7,7,7,7,5,7,4,2,6,5,6,4,3,6,7,7,6,5,5,5.25,6,4.75,3.75,5.25,5.75,6.25,5.5,5.5,5.75,4.75,3.75,4.25,5.75,5.75,4.5,5.25,4.5,5.25,5.25,4.25,5.5,5,5.25,5.75,5.25,5.5,5.5,3.25,5,4.75,3.75,4,5,6,5.5,5.25,5,4.5,4.75
11,22,0,5,7,6,6,4,5,6,6,6,5,4,5,6,6,5,4,5,6,6,6,4,6,7,6,5,5,6,5,3,5,5,5,5,3,5,6,5,6,4,5,3,4.75,5.25,5,5.25,4,4.25,5,4.75,5.25,3.75,4.25,4.75,4.75,5.5,3.5,3.75,4.5,4.25,5,4.75,4.25,5.25,3.25,4,4,5,5.25,3.5,3.5,4,3.75,4.25,5,4.25,3.5,5,3.5,3.75,4
12,24,0,5,7,7,6,4,5,6,6,6,6,5,3,5,5,6,5,3,6,5,5,6,7,7,5,6,6,7,6,2,3,6,5,5,3,5,6,7,6,5,4,4.5,5,5.25,4.5,4,5,5.75,6,4,4.25,4.75,5.25,4.5,4.75,4.5,4.75,3.5,4,4.25,4.75,4.25,5,5,2.25,4.75,5,5.75,5.5,3.75,3.75,4.25,4.25,4.5,3.25,5,4.25,3.5,5.75,3.75,4
13,26,0,4,7,7,7,6,6,6,6,7,6,4,4,6,6,7,4,7,6,6,7,4,7,6,7,4,4,7,6,2,4,5,6,3,7,6,5,7,7,4,4,4.5,5.25,5.5,5.75,5,5.75,5.25,5.25,5,5.25,4.5,3.25,4.75,4.75,5.25,4.5,4.25,4.5,5,4.25,5,5.5,6,4.75,5.75,4.75,5.5,4.75,3.75,4.5,4,5,4,4.5,4.75,4.5,5.25,5.25,5.25,5.25
14,28,0,6,7,7,6,6,4,5,5,6,6,4,6,5,6,6,6,7,5,6,7,6,6,6,7,4,3,7,2,2,6,4,5,2,7,7,6,6,6,2,6,5,5.5,5.5,5.5,5.5,4.75,5.75,5.75,4.5,5.75,4,4.75,5.75,4.5,5.75,4.25,5,5.5,4.75,5.25,4.5,5.25,5.75,5,5,4.25,6,4.75,3.5,4.5,4,4.75,2.75,4.75,5.25,5.25,4.75,5.5,5,4.75
15,30,0,4,5,5,7,5,6,4,5,6,7,4,4,5,5,7,4,6,4,6,6,6,5,6,6,7,5,6,4,5,4,3,4,6,4,6,5,4,6,6,5,5,5.25,5,5.5,3.75,4.25,5,4.75,4.5,5,4.75,3.25,5.25,4,5,4,4,4,4.75,5,5.5,5.25,4.25,4.75,5.25,4.25,5.25,4.5,3,3.5,4,3,3,3.5,4.75,4.75,3,4.75,5.5,3.5
16,32,0,7,7,7,7,4,6,5,7,7,7,4,5,6,7,7,6,7,7,7,7,5,7,7,7,5,4,6,4,2,2,6,7,3,7,5,7,7,7,3,5,5.5,5.75,4.75,5.5,4.25,5.75,5.25,5,5.5,5.5,4.5,5,4,5.5,5,5.25,5,4,4.25,4.25,4,5.5,4.5,4.75,4.5,4,5.5,4,3,3.25,5.75,4.5,2,5.25,4.25,6,6,4,4,4.75
17,34,0,5,7,6,7,6,7,6,7,6,7,4,7,7,7,7,4,7,5,7,7,6,7,6,7,5,5,7,2,1,6,4,7,2,7,7,5,7,2,7,6,3,4,4.5,4.75,4,3.25,3.5,4.75,3.25,4.5,3.25,4,4,3.25,5,3,3.5,4.5,4.75,3.25,4.5,4,4.25,3.75,4.5,3.75,4.75,3.5,3.5,4.5,2.75,5,3.25,4.25,4,3.75,5,4.5,4,4
18,36,0,3,6,5,7,5,5,5,6,7,7,4,4,5,5,7,3,5,5,5,6,5,4,6,6,4,3,5,4,4,6,3,3,3,4,5,3,4,6,5,4,3.25,3.75,5.25,3.75,4,3,5.25,5.25,3.5,5.5,3,4,4.5,3.5,5.75,2.5,4.5,3.75,4.25,3.75,3,3.25,5,5,4.75,4,5.5,4.75,4.25,4.75,3,3.75,3.75,4.5,4.75,2.75,3.25,4.75,4.25,5.5
19,38,0,2,7,7,7,5,3,5,7,7,7,4,3,5,7,7,6,7,6,7,7,7,7,5,7,7,1,7,7,5,2,2,7,7,7,6,6,7,7,7,7,5,5.25,6,5.5,5.5,5.5,6,6.5,6.5,5.25,4.25,3.5,6.25,5,5.75,4.25,4.25,5,5.25,5.75,3.75,5.75,6,5,5.75,3.75,6,6.5,3.5,4.5,4.25,5.75,6.5,6.25,4.5,4.25,5.75,5.5,5.5,4.5
20,40,0,7,7,7,7,4,7,4,7,7,7,5,1,7,7,7,4,7,4,7,4,5,7,7,7,4,1,7,7,4,1,7,7,1,4,4,7,7,1,4,4,4.75,4.5,4.5,4.5,3.75,4.75,5.25,4.75,4.25,5.5,4.5,2.75,4.75,4,5.5,4.25,4.25,4.5,3.75,6,5,3.25,5.25,3.75,4,2.75,5.25,3.75,3,5.25,4,4.5,3,3,5.5,4.75,5,5,4.75,5
21,42,0,5,4,7,1,7,6,4,1,4,7,4,4,7,7,7,6,4,7,4,7,7,4,7,7,7,4,7,4,2,6,7,4,7,7,7,7,7,5,7,7,5.25,4.75,6,5,4,5.25,4.75,6,4.25,5.25,4.75,3.5,4.5,4.25,5.5,4.25,4.5,4.75,4.5,4.75,4.25,5.75,5.75,3.75,4.5,3.5,5.5,3.75,3.25,5,4.75,4.25,4,5,3.75,5.25,5.25,5.25,5.75,4.75
22,44,0,6,6,6,7,5,6,6,6,7,6,4,5,5,7,6,6,7,6,7,7,6,7,5,7,6,4,6,4,3,4,5,4,4,6,6,6,6,5,4,4,5.25,5.75,5.5,5.75,5.5,5.5,5,5.5,5.5,5.75,4.75,3.75,4.5,5.5,6.25,5,5.5,4.25,4.5,5.75,5.75,5.75,5.25,4.5,5.5,4.5,5.75,3.25,3,5,4.5,5,1.75,6,6,5.5,5.25,3.75,4,4.75
23,46,0,6,6,6,6,4,6,6,6,5,6,4,5,6,6,6,4,6,5,6,6,6,7,7,7,7,7,6,4,2,4,6,4,2,4,5,6,5,6,7,4,5,5,5.25,4.5,4,5.5,4.5,4.25,4.25,5.25,4.5,3.5,4.25,5.25,5.75,5.5,3.25,3.75,5.25,4.25,5.75,5,5.25,2.5,6,3.75,5.5,4.5,3.25,4.25,5,4.75,2.75,5,5,5.25,5.75,3.75,3,4
24,48,0,5,7,6,6,7,6,6,6,6,6,4,5,6,6,6,5,5,5,6,6,7,7,6,7,7,5,6,6,2,6,5,6,5,7,6,6,7,6,6,4,4,4.25,5.25,4.5,5.5,4.5,4.5,5.25,4.75,5.25,4.5,3,5,3.5,6,4.25,3,4.25,3.25,5.5,5.5,5,5.5,4.5,6,4.75,5.25,5.25,3.75,5.75,4,4.75,4.25,5,5.25,4,5.5,4.25,3.5,5
25,50,0,5,6,6,2,6,6,7,5,6,6,5,4,6,6,6,4,5,5,4,4,5,7,5,5,5,5,6,6,2,4,4,4,4,5,4,5,5,5,4,4,4.75,4,6,6,5.5,4.5,6,6,6.25,5.25,4.75,4,4.75,5.25,6,5.5,3.25,4.5,5.5,6.25,4.25,4.25,5.25,5,5.25,5,5.75,5,3.75,4.75,4.75,3.75,4.25,4,5,5.25,5,5.5,5,4.25
26,52,0,6,6,6,7,6,7,7,7,6,7,4,4,5,6,7,5,7,6,7,7,7,6,6,7,7,5,7,2,3,5,6,4,2,7,7,6,6,4,4,3,5.5,5.75,6.5,5.5,5,5.75,5.5,6.75,5.25,6,5.25,3.25,5.75,4.25,6.25,4.5,5,6.25,3.75,5.75,5,5.25,6.75,4.75,4.75,5.5,5.75,5.25,3.5,5.75,4.75,4.25,3.25,6,6,4.75,4.25,6.25,3.5,4.75
27,54,0,4,7,7,7,7,7,7,7,7,7,4,4,7,7,7,4,7,7,7,7,4,7,7,7,4,7,7,7,1,7,4,1,4,7,4,7,7,7,7,7,5,6.25,6,6.25,5.25,6,5.75,5.75,6,4.75,4.25,4,5.5,4.5,4.75,4.75,4.5,4,5,5.75,4.5,5.5,5.75,4.75,4.75,4.75,5.75,5,3,4.5,5,4.75,3.75,4.25,5.25,5.75,5,4.75,3.75,4.5
28,56,0,6,7,6,7,5,6,6,6,7,6,4,4,6,6,6,4,6,6,4,6,2,6,5,7,5,7,7,4,2,5,5,4,4,6,6,6,7,6,5,6,4.5,5.75,6.25,6.75,4.75,4,5.5,6,6,5.25,5.25,4.25,5.25,5.5,4.75,4.5,4.75,4.75,5.75,5,6,4.5,6,6,4.5,6,6,4.5,3.75,3.75,4.25,5,3.75,5,4.75,5.25,5.25,5.5,6,4.75
29,58,0,5,7,7,7,7,7,7,7,7,7,7,3,7,7,7,4,5,4,5,7,7,7,7,7,7,4,7,4,1,4,5,3,3,7,7,7,7,4,4,4,5.5,5.75,6.75,5,5.75,5.75,6.75,7,6.5,7,5.25,4,6.25,5.75,6.75,5.25,5,5,5.75,6.5,4.75,4.25,7,5.25,5.75,4.75,5.75,4.5,2.75,4.75,5.25,4.5,4.5,4.25,6.25,4.5,5.75,6.25,4.25,6
30,60,0,6,7,7,6,7,4,6,6,6,7,5,6,6,6,7,5,6,6,5,6,5,6,5,4,7,5,7,4,3,3,5,5,3,5,7,5,5,3,3,3,4.25,4,4,3.5,4,5,4.5,4.25,4,5.25,5,3.25,4.5,4.5,5.25,4.5,2.5,3.5,4,5,6.25,3.75,5,3.5,4.25,3.75,4.75,2.25,3.5,4,4,2.75,3,4.25,4.25,3.75,3.75,5.5,3.5,5
31,62,0,7,7,7,7,7,7,7,7,7,7,5,4,6,6,7,5,5,6,4,7,5,5,6,7,7,6,7,7,2,3,6,6,4,4,3,5,6,7,5,5,6.25,5.25,5.25,4,5,5.5,2.25,4.25,4.25,5.5,5.75,2.5,4.75,3.75,5.75,5.75,2,4.25,3.25,5.25,5.5,4.25,4.5,1.75,3.75,5.75,3.5,5.75,3.25,5,6.25,2.75,5.75,3.75,4.25,5.5,3,5.5,4.25,5
32,64,0,5,7,7,7,5,7,7,7,7,7,5,4,7,7,7,6,7,6,7,7,7,7,7,7,6,5,7,6,3,4,5,6,6,7,7,7,7,6,5,6,4.5,3.5,6.5,4.5,5.75,5.5,4.25,6.5,5.25,5.75,5,2.25,6,4.75,6,5.25,3.75,5.75,4,5.75,5.75,3,6.5,4.5,5.5,5.75,5.75,6.25,3.75,4.75,5.75,3.25,6.25,4,6,5.5,4.25,6,4,5.75
33,66,0,5,7,7,6,6,5,6,7,7,7,4,4,5,6,7,5,5,6,7,7,7,7,6,6,4,4,7,2,4,4,4,4,1,7,6,6,6,6,4,5,4,5.5,4.75,4.75,5.25,4,4.75,4.5,5.25,5.75,4.25,4.5,4,5.75,5.75,4.5,4.25,4,5.25,5.5,6.5,5,3.5,4.5,5.25,5,5.25,2.5,3.5,4.5,3.5,4.75,1.75,6,5.5,5.5,4.5,5,4.25,5.25
34,68,0,6,6,6,6,6,6,6,7,6,6,4,6,6,5,6,5,6,6,5,6,6,7,6,6,6,6,7,5,3,5,6,6,4,3,5,5,6,5,5,4,5.25,5.5,6.25,3.75,5,4.5,4.75,6,5,5,4.5,4.25,5.75,4.75,5.25,4.5,4.5,5.25,4.75,5,5,5.25,5,4.5,4.75,4.75,5,4.75,3.25,4.25,5,4.25,3.5,4.25,5.75,5.5,4.75,5.75,4.5,4.5
35,70,0,5,6,6,7,6,7,7,4,7,6,3,5,6,7,6,6,7,6,6,6,6,7,7,4,6,2,6,6,5,3,3,5,6,5,5,5,6,6,3,3,3.25,5,5.75,5.5,5.75,3.75,4.75,5.75,5.25,5.5,5.25,3.25,5.25,5.5,5.5,5.25,3.75,5.5,5.25,5.25,5.5,5.75,5.25,5.25,3.75,5.25,5.75,4.75,4.25,5,4.25,4.75,4,4.5,4.75,5,4.75,5,5.25,5.25
36,72,0,7,7,7,7,7,6,7,7,7,7,5,7,7,7,7,5,7,7,7,7,7,6,7,7,7,6,7,1,3,1,4,5,1,7,7,6,7,7,7,7,5.25,5.25,6.25,6.5,6.25,5,5.5,6.25,6.75,6,5.25,4.25,5.75,5.75,5.75,5.25,5,4.5,6,5.75,5.25,5.75,5.5,5.75,5,5.5,6.25,4,3.75,4,5.5,5.5,1.75,5.25,5.5,5.5,5.25,5.75,6,5.75
37,74,0,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,5,6,5,5,5,4,6,5,3,5,4,5,5,4,5,5,5,5,4,4,6,5.75,6.25,6,5.25,6.5,5.25,6.5,5.25,5.75,5,3.25,5.5,4.75,6,4.75,3.5,6.75,4.5,6,5.25,4,6.5,5.25,5.75,4,5.25,5.25,3.25,3.75,4.25,4,5.25,3.75,5.75,5.25,5,6,5,5
38,76,0,6,7,6,7,5,6,6,6,7,6,4,4,6,6,6,5,6,6,6,6,4,6,6,6,6,6,6,6,2,5,4,4,4,6,6,6,6,6,4,6,3,4.25,5.25,4.75,4,3.25,4.75,5,5.5,4.75,3.25,4.75,4.75,5.25,5,3.75,4.5,5,5,4.25,5,5.25,4.25,5.75,3.75,4.5,5.25,4.75,3.75,3.25,2.75,4.25,4.25,4.5,4,3.25,4.75,5.75,4.75,4.5
39,78,0,6,6,7,7,5,6,6,6,7,6,4,4,5,6,5,5,6,6,5,5,4,7,7,6,5,5,6,5,3,4,5,5,3,7,4,5,5,6,4,4,3.75,4,4.75,5.5,3.5,4.25,4.75,4.25,4.25,5,5,4,4.25,4.5,4.75,4.75,3.5,4.5,4.25,4,5,4.25,4.75,4.5,4,4.25,5,5,5,3,3.5,3.75,3.5,4.25,4.25,4.25,4.25,5.25,4,4.5
40,80,0,7,7,7,7,4,7,7,6,7,7,4,6,7,7,7,4,7,6,7,6,7,7,7,7,7,4,7,4,5,4,2,4,4,7,7,6,7,6,7,6,5.25,5.75,6,4.5,4.75,5,4.75,6,5.75,5.25,4.75,3.25,5.5,5.25,5.25,5,3.5,5,4.5,5,4.75,4.25,5.5,4.75,4.25,5,4.75,5.75,4,3.75,4.5,4.75,5,4.5,4.75,4.75,4,5.5,4.5,4.25
41,82,0,7,7,7,7,6,6,6,7,7,7,4,4,7,7,7,4,7,7,7,6,7,7,7,6,6,4,7,7,2,3,6,7,7,7,7,7,7,6,6,4,5.75,6,6,5.75,5,5.75,5.5,6,4.5,5.75,3.75,4.75,4.25,4.25,5.75,3.5,5.5,5.5,5.5,4.75,3,5.5,5.25,5,4.75,3.75,5.5,6,3,4.25,4.5,4.75,5.5,4.5,4.5,5,5,5.5,4.25,4.75
42,84,0,7,7,6,7,6,7,6,6,7,7,4,4,6,7,7,5,5,5,7,7,6,7,7,7,5,4,7,5,2,3,4,4,5,7,7,6,5,7,4,5,6.5,6,5.5,5,4.5,6.5,5.25,6.5,5,5.5,5.25,3.5,5.75,4.75,5.75,5.5,3.75,4.25,3.75,5.75,5.75,3.5,5.75,3.75,6,5.25,5.75,4.25,2.75,5.25,6,4.5,3,4.25,6.25,6.25,5,5,4.75,5.25
43,86,0,6,7,7,6,5,7,6,6,7,6,5,4,5,6,6,5,6,6,6,6,6,7,6,6,5,6,6,6,3,4,6,5,4,6,6,7,6,6,5,6,5.25,5.75,6.25,5,4.5,5.75,5.75,4.75,5.5,5.25,4,4.25,5,4.75,5,4.75,4.75,5.25,4.25,4.5,4.5,4.5,5,4.75,4.5,4.25,5.5,4.5,3.25,3.5,5.25,4.5,4.75,4.5,4.75,5.25,5.25,5.25,4.5,4.75
44,88,0,6,6,6,7,7,7,5,7,7,7,6,5,7,7,7,7,4,7,5,7,6,7,7,7,6,7,7,5,2,4,6,7,7,3,6,7,6,7,6,6,6,5.5,6.25,6.25,5.75,6,5,6,6.25,6,5.5,4.5,5.25,5.75,5.75,5.75,4.5,4.5,5.25,5.75,5,2,6,5.75,4.5,5.25,5.5,4.75,4.75,5,5.5,4.25,3.75,4.5,6,6.5,4.5,5.75,4.5,5.75
45,90,0,7,7,7,7,6,6,7,7,7,7,4,4,4,6,7,7,7,7,7,7,7,7,4,7,7,4,7,2,4,4,4,4,2,7,6,4,7,7,4,4,3.75,4.5,5,4,5.25,4,4.25,5.25,4.25,5.75,3.5,3.75,5,4.25,5.75,3.5,3.5,4.75,4.25,6.25,6.25,3.25,4.25,4.25,6.75,4.75,5,2,2.75,6,3.75,4,3,5.75,6.25,3.75,3.75,3.75,1.75,3.75
46,92,0,6,7,7,1,6,6,6,7,7,6,4,5,6,7,6,5,6,6,6,6,6,6,6,6,6,5,7,2,2,4,5,6,2,7,7,7,6,6,4,5,5.25,5.75,6,5.5,4.75,4.5,6.5,6,5.5,6.25,4.25,3.5,5.25,6.5,6,4.5,4.75,5.5,5.5,6,5,5.75,5.75,5.5,5.25,4,5.5,5,3.25,5,4.5,4.5,2.5,5,5.5,5,4.25,5.5,4.75,4.75
47,94,0,6,6,6,6,6,7,6,4,6,6,2,4,6,6,6,4,4,6,6,4,4,6,6,5,6,6,4,4,4,4,4,4,4,6,4,6,6,5,3,4,3.75,4.25,5,5.25,3.75,3.5,5.25,4.5,5,4,4.25,4.25,5.25,4.25,4.5,4,4.25,4.25,5,3.75,5.5,5.5,5.5,4.5,4.75,3.5,4.666666667,4.25,4.25,2.75,2.75,4,4,5,3.75,3.75,4.75,5.75,4.25,4.25
48,96,0,7,7,7,7,7,7,7,6,7,7,5,3,7,7,7,5,6,7,7,7,6,7,7,7,7,5,7,7,1,5,7,6,4,4,5,7,7,6,4,5,4.75,5.75,5.5,4.5,4.75,5.75,5.75,5,5,5.25,4.75,3,4.75,5.75,5.75,5.5,4.25,3.75,5.5,4.75,4.75,4.75,5.5,4.25,4.75,4.75,5,5.75,3.25,3,5.25,3.25,3.25,3.25,5.5,5.75,4.75,4.75,4,3.75
49,98,0,6,7,7,7,7,6,6,7,7,7,5,6,7,7,7,6,7,7,5,7,7,4,6,7,7,7,7,4,2,6,4,4,3,5,6,6,7,6,4,6,6,5.75,5.75,3.5,6,5.75,4.25,6.25,5,5,5.75,3,5.5,2.75,5,6,3.5,6,3,5,5.75,5.25,6.25,3.5,4.75,5.75,4.75,3,2,4.75,6.25,3.25,5,4.25,4.75,6.25,4,6,5.5,5.666666667
